Sample in Buffer,Sample in Window,TRIGGER,base_soc_i/test_pattern_generator_0_probe_test_o[7:0]
415,415,0,00
416,416,0,00
417,417,0,00
418,418,0,00
419,419,0,00
420,420,0,00
421,421,0,00
422,422,0,00
423,423,0,00
424,424,0,00
425,425,0,00
426,426,0,00
427,427,0,00
428,428,0,00
429,429,0,00
430,430,0,00
431,431,0,00
432,432,0,00
433,433,0,00
434,434,0,00
435,435,0,00
436,436,0,00
437,437,0,00
438,438,0,00
439,439,0,00
440,440,0,00
441,441,0,00
442,442,0,00
443,443,0,00
444,444,0,00
445,445,0,00
446,446,0,00
447,447,0,00
448,448,0,00
449,449,0,00
450,450,0,00
451,451,0,00
452,452,0,00
453,453,0,00
454,454,0,00
455,455,0,00
456,456,0,00
457,457,0,00
458,458,0,00
459,459,0,00
460,460,0,00
461,461,0,00
462,462,0,00
463,463,0,00
464,464,0,00
465,465,0,00
466,466,0,00
467,467,0,00
468,468,0,00
469,469,0,00
470,470,0,00
471,471,0,00
472,472,0,00
473,473,0,00
474,474,0,00
475,475,0,00
476,476,0,00
477,477,0,00
478,478,0,00
479,479,0,00
480,480,0,00
481,481,0,00
482,482,0,00
483,483,0,00
484,484,0,00
485,485,0,00
486,486,0,00
487,487,0,00
488,488,0,00
489,489,0,00
490,490,0,00
491,491,0,00
492,492,0,00
493,493,0,00
494,494,0,00
495,495,0,00
496,496,0,00
497,497,0,00
498,498,0,00
499,499,0,00
500,500,0,00
501,501,0,00
502,502,0,00
503,503,0,00
504,504,0,00
505,505,0,00
506,506,0,00
507,507,0,00
508,508,0,00
509,509,0,00
510,510,0,00
511,511,0,00
512,512,1,01
513,513,0,01
514,514,0,01
515,515,0,01
516,516,0,01
517,517,0,01
518,518,0,01
519,519,0,01
520,520,0,01
521,521,0,01
522,522,0,01
523,523,0,01
524,524,0,01
525,525,0,01
526,526,0,01
527,527,0,01
528,528,0,01
529,529,0,01
530,530,0,01
531,531,0,01
532,532,0,01
533,533,0,01
534,534,0,01
535,535,0,01
536,536,0,01
537,537,0,01
538,538,0,01
539,539,0,01
540,540,0,01
541,541,0,01
542,542,0,01
543,543,0,01
544,544,0,01
545,545,0,01
546,546,0,01
547,547,0,01
548,548,0,01
549,549,0,01
550,550,0,01
551,551,0,01
552,552,0,01
553,553,0,01
554,554,0,01
555,555,0,01
556,556,0,01
557,557,0,01
558,558,0,01
559,559,0,01
560,560,0,01
561,561,0,01
562,562,0,01
563,563,0,01
564,564,0,01
565,565,0,01
566,566,0,01
567,567,0,01
568,568,0,01
569,569,0,01
570,570,0,01
571,571,0,01
572,572,0,01
573,573,0,01
574,574,0,01
575,575,0,01
576,576,0,01
577,577,0,01
578,578,0,01
579,579,0,01
580,580,0,01
581,581,0,01
582,582,0,01
583,583,0,01
584,584,0,01
585,585,0,01
586,586,0,01
587,587,0,01
588,588,0,01
589,589,0,01
590,590,0,01
591,591,0,01
592,592,0,01
593,593,0,01
594,594,0,01
595,595,0,01
596,596,0,01
597,597,0,01
598,598,0,01
599,599,0,01
600,600,0,01
601,601,0,01
602,602,0,01
603,603,0,01
604,604,0,01
605,605,0,01
606,606,0,01
607,607,0,01
608,608,0,01
609,609,0,01
610,610,0,01
611,611,0,01
612,612,0,01
613,613,0,01
614,614,0,01
615,615,0,01
616,616,0,01
617,617,0,01
618,618,0,01
619,619,0,01
620,620,0,01
621,621,0,01
622,622,0,01
623,623,0,01
624,624,0,01
625,625,0,01
626,626,0,01
627,627,0,01
628,628,0,01
629,629,0,01
630,630,0,01
631,631,0,01
632,632,0,01
633,633,0,01
634,634,0,01
635,635,0,01
636,636,0,01
637,637,0,01
638,638,0,01
639,639,0,01
640,640,0,01
641,641,0,01
642,642,0,01
643,643,0,01
644,644,0,01
645,645,0,01
646,646,0,01
647,647,0,01
648,648,0,01
649,649,0,01
650,650,0,01
651,651,0,01
652,652,0,01
653,653,0,01
654,654,0,01
655,655,0,01
656,656,0,01
657,657,0,01
658,658,0,01
659,659,0,01
660,660,0,01
661,661,0,01
662,662,0,01
663,663,0,01
664,664,0,01
665,665,0,01
666,666,0,01
667,667,0,01
668,668,0,01
669,669,0,01
670,670,0,01
671,671,0,01
672,672,0,01
673,673,0,01
674,674,0,01
675,675,0,01
676,676,0,01
677,677,0,01
678,678,0,01
679,679,0,01
680,680,0,01
681,681,0,01
682,682,0,01
683,683,0,01
684,684,0,01
685,685,0,01
686,686,0,01
687,687,0,01
688,688,0,01
689,689,0,01
690,690,0,01
691,691,0,01
692,692,0,01
693,693,0,01
694,694,0,01
695,695,0,01
696,696,0,01
697,697,0,01
698,698,0,01
699,699,0,01
700,700,0,01
701,701,0,01
702,702,0,01
703,703,0,01
704,704,0,01
705,705,0,01
706,706,0,01
707,707,0,01
708,708,0,01
709,709,0,01
710,710,0,01
711,711,0,01
712,712,0,01
713,713,0,01
714,714,0,01
715,715,0,01
716,716,0,01
717,717,0,01
718,718,0,01
719,719,0,01
720,720,0,01
721,721,0,01
722,722,0,01
723,723,0,01
724,724,0,01
725,725,0,01
726,726,0,01
727,727,0,01
728,728,0,01
729,729,0,01
730,730,0,01
731,731,0,01
732,732,0,01
733,733,0,01
734,734,0,01
735,735,0,01
736,736,0,01
737,737,0,01
738,738,0,01
739,739,0,01
740,740,0,01
741,741,0,01
742,742,0,01
743,743,0,01
744,744,0,01
745,745,0,01
746,746,0,01
747,747,0,01
748,748,0,01
749,749,0,01
750,750,0,01
751,751,0,01
752,752,0,01
753,753,0,01
754,754,0,01
755,755,0,01
756,756,0,01
757,757,0,01
758,758,0,01
759,759,0,01
760,760,0,01
761,761,0,01
762,762,0,01
763,763,0,01
764,764,0,01
765,765,0,01
766,766,0,01
767,767,0,01
768,768,0,01
769,769,0,01
770,770,0,01
771,771,0,01
772,772,0,01
773,773,0,01
774,774,0,01
775,775,0,01
776,776,0,01
777,777,0,01
778,778,0,01
779,779,0,01
780,780,0,01
781,781,0,01
782,782,0,01
783,783,0,01
784,784,0,01
785,785,0,01
786,786,0,01
787,787,0,01
788,788,0,01
789,789,0,01
790,790,0,01
791,791,0,01
792,792,0,01
793,793,0,01
794,794,0,01
795,795,0,01
796,796,0,01
797,797,0,01
798,798,0,01
799,799,0,01
800,800,0,01
801,801,0,01
802,802,0,01
803,803,0,01
804,804,0,01
805,805,0,01
806,806,0,01
807,807,0,01
808,808,0,01
809,809,0,01
810,810,0,01
811,811,0,01
812,812,0,01
813,813,0,01
814,814,0,01
815,815,0,01
816,816,0,01
817,817,0,01
818,818,0,01
819,819,0,01
820,820,0,01
821,821,0,01
822,822,0,01
823,823,0,01
824,824,0,01
825,825,0,01
826,826,0,01
827,827,0,01
828,828,0,01
829,829,0,01
830,830,0,01
831,831,0,01
832,832,0,01
833,833,0,01
834,834,0,01
835,835,0,01
836,836,0,01
837,837,0,01
838,838,0,01
839,839,0,01
840,840,0,01
841,841,0,01
842,842,0,01
843,843,0,01
844,844,0,01
845,845,0,01
846,846,0,01
847,847,0,01
848,848,0,01
849,849,0,01
850,850,0,01
851,851,0,01
852,852,0,01
853,853,0,01
854,854,0,01
855,855,0,01
856,856,0,01
857,857,0,01
858,858,0,01
859,859,0,01
860,860,0,01
861,861,0,01
862,862,0,01
863,863,0,01
864,864,0,01
865,865,0,01
866,866,0,01
867,867,0,01
868,868,0,01
869,869,0,01
870,870,0,01
871,871,0,01
872,872,0,01
873,873,0,01
874,874,0,01
875,875,0,01
876,876,0,01
877,877,0,01
878,878,0,01
879,879,0,01
880,880,0,01
881,881,0,01
882,882,0,01
883,883,0,01
884,884,0,01
885,885,0,01
886,886,0,01
887,887,0,01
888,888,0,01
889,889,0,01
890,890,0,01
891,891,0,01
892,892,0,01
893,893,0,01
894,894,0,01
895,895,0,01
896,896,0,01
897,897,0,01
898,898,0,01
899,899,0,01
900,900,0,01
901,901,0,01
902,902,0,01
903,903,0,01
904,904,0,01
905,905,0,01
906,906,0,01
907,907,0,01
908,908,0,01
909,909,0,01
910,910,0,01
911,911,0,01
912,912,0,01
913,913,0,01
914,914,0,01
915,915,0,01
916,916,0,01
917,917,0,01
918,918,0,01
919,919,0,01
920,920,0,01
921,921,0,01
922,922,0,01
923,923,0,01
924,924,0,01
925,925,0,01
926,926,0,01
927,927,0,01
928,928,0,01
929,929,0,01
930,930,0,01
931,931,0,01
932,932,0,01
933,933,0,01
934,934,0,01
935,935,0,01
936,936,0,01
937,937,0,01
938,938,0,01
939,939,0,01
940,940,0,01
941,941,0,01
942,942,0,01
943,943,0,01
944,944,0,01
945,945,0,01
946,946,0,01
947,947,0,01
948,948,0,01
949,949,0,01
950,950,0,01
951,951,0,01
952,952,0,01
953,953,0,01
954,954,0,01
955,955,0,01
956,956,0,01
957,957,0,01
958,958,0,01
959,959,0,01
960,960,0,01
961,961,0,01
962,962,0,01
963,963,0,01
964,964,0,01
965,965,0,01
966,966,0,01
967,967,0,01
968,968,0,01
969,969,0,01
970,970,0,01
971,971,0,01
972,972,0,01
973,973,0,01
974,974,0,01
975,975,0,01
976,976,0,01
977,977,0,01
978,978,0,01
979,979,0,01
980,980,0,01
981,981,0,01
982,982,0,01
983,983,0,01
984,984,0,01
985,985,0,01
986,986,0,01
987,987,0,01
988,988,0,01
989,989,0,01
990,990,0,01
991,991,0,01
992,992,0,01
993,993,0,01
994,994,0,01
995,995,0,01
996,996,0,01
997,997,0,01
998,998,0,01
999,999,0,01
1000,1000,0,01
1001,1001,0,01
1002,1002,0,01
1003,1003,0,01
1004,1004,0,01
1005,1005,0,01
1006,1006,0,01
1007,1007,0,01
1008,1008,0,01
1009,1009,0,01
1010,1010,0,01
1011,1011,0,01
1012,1012,0,01
1013,1013,0,01
1014,1014,0,01
1015,1015,0,01
1016,1016,0,01
1017,1017,0,01
1018,1018,0,01
1019,1019,0,01
1020,1020,0,01
1021,1021,0,01
1022,1022,0,01
1023,1023,0,01
