width_cycles,width_ns,trial,eligible,detected,sample_count,trigger_count,trigger_index,sample_511,sample_512,visible_high_samples,fall_observed,first_low_index,raw_csv_sha256,ila_sha256,normalized_csv_sha256,result
10,100,2,1,1,1024,1,512,00,01,10,1,522,5dc9dd7faa23e96c06bd6816231389a50d176d0e6ab57d7cc4ae240f10408d41,5c1fe59c0f754ef45159eb50b4d4091d5723606d1894392b779c68a0c2991d89,a56b1d18d5f352e3637dd65f89df52ad2df5bea2d5d47153b895c353603a3891,PASS
10,100,3,1,1,1024,1,512,00,01,10,1,522,5dc9dd7faa23e96c06bd6816231389a50d176d0e6ab57d7cc4ae240f10408d41,20d33cd3f1cb585864c647fb984dadba766b0f29cf68e414296ff8243def1766,a56b1d18d5f352e3637dd65f89df52ad2df5bea2d5d47153b895c353603a3891,PASS
10,100,4,1,1,1024,1,512,00,01,10,1,522,5dc9dd7faa23e96c06bd6816231389a50d176d0e6ab57d7cc4ae240f10408d41,4aad649ba7a9e155253bbdef47633b6508e219dc61cec3c55d26cf7ca2d3ee33,a56b1d18d5f352e3637dd65f89df52ad2df5bea2d5d47153b895c353603a3891,PASS
10,100,5,1,1,1024,1,512,00,01,10,1,522,5dc9dd7faa23e96c06bd6816231389a50d176d0e6ab57d7cc4ae240f10408d41,4aad649ba7a9e155253bbdef47633b6508e219dc61cec3c55d26cf7ca2d3ee33,a56b1d18d5f352e3637dd65f89df52ad2df5bea2d5d47153b895c353603a3891,PASS
10,100,6,1,1,1024,1,512,00,01,10,1,522,5dc9dd7faa23e96c06bd6816231389a50d176d0e6ab57d7cc4ae240f10408d41,4aad649ba7a9e155253bbdef47633b6508e219dc61cec3c55d26cf7ca2d3ee33,a56b1d18d5f352e3637dd65f89df52ad2df5bea2d5d47153b895c353603a3891,PASS
10,100,7,1,1,1024,1,512,00,01,10,1,522,5dc9dd7faa23e96c06bd6816231389a50d176d0e6ab57d7cc4ae240f10408d41,d0414186f9dffb40d0bc72b45a53481b00c7570c0a4d7dcdfb4ec89cc2f9ac14,a56b1d18d5f352e3637dd65f89df52ad2df5bea2d5d47153b895c353603a3891,PASS
10,100,8,1,1,1024,1,512,00,01,10,1,522,5dc9dd7faa23e96c06bd6816231389a50d176d0e6ab57d7cc4ae240f10408d41,d0414186f9dffb40d0bc72b45a53481b00c7570c0a4d7dcdfb4ec89cc2f9ac14,a56b1d18d5f352e3637dd65f89df52ad2df5bea2d5d47153b895c353603a3891,PASS
10,100,9,1,1,1024,1,512,00,01,10,1,522,5dc9dd7faa23e96c06bd6816231389a50d176d0e6ab57d7cc4ae240f10408d41,318361ca629aa3c7f187bd72689982da46aa339cb1b219c60f297d4a3b33ee6b,a56b1d18d5f352e3637dd65f89df52ad2df5bea2d5d47153b895c353603a3891,PASS
10,100,10,1,1,1024,1,512,00,01,10,1,522,5dc9dd7faa23e96c06bd6816231389a50d176d0e6ab57d7cc4ae240f10408d41,d0414186f9dffb40d0bc72b45a53481b00c7570c0a4d7dcdfb4ec89cc2f9ac14,a56b1d18d5f352e3637dd65f89df52ad2df5bea2d5d47153b895c353603a3891,PASS
100,1000,1,1,1,1024,1,512,00,01,100,1,612,15f9af7ddfc43104092fd14cb085510b35615eafbe80a2fc92fa776c39db8469,17bd50f3ec44f33be272b23829831187fdcc592df81a04e5f7a9b33e15e015bd,03ff253978bba0ef6fbbd5243f141b089471d77c96501d2c33ea72bda70badc3,PASS
100,1000,2,1,1,1024,1,512,00,01,100,1,612,15f9af7ddfc43104092fd14cb085510b35615eafbe80a2fc92fa776c39db8469,4843252058fa9aec5961ffba1050cb63c6731892b716008830db1d05fab2f2a1,03ff253978bba0ef6fbbd5243f141b089471d77c96501d2c33ea72bda70badc3,PASS
100,1000,3,1,1,1024,1,512,00,01,100,1,612,15f9af7ddfc43104092fd14cb085510b35615eafbe80a2fc92fa776c39db8469,57773c3f0bc0232551cb118a1afd55d8b5ad65bde62641fe87eb606127e0d484,03ff253978bba0ef6fbbd5243f141b089471d77c96501d2c33ea72bda70badc3,PASS
100,1000,4,1,1,1024,1,512,00,01,100,1,612,15f9af7ddfc43104092fd14cb085510b35615eafbe80a2fc92fa776c39db8469,57773c3f0bc0232551cb118a1afd55d8b5ad65bde62641fe87eb606127e0d484,03ff253978bba0ef6fbbd5243f141b089471d77c96501d2c33ea72bda70badc3,PASS
100,1000,5,1,1,1024,1,512,00,01,100,1,612,15f9af7ddfc43104092fd14cb085510b35615eafbe80a2fc92fa776c39db8469,4843252058fa9aec5961ffba1050cb63c6731892b716008830db1d05fab2f2a1,03ff253978bba0ef6fbbd5243f141b089471d77c96501d2c33ea72bda70badc3,PASS
100,1000,6,1,1,1024,1,512,00,01,100,1,612,15f9af7ddfc43104092fd14cb085510b35615eafbe80a2fc92fa776c39db8469,af6a23bb68362fbb701a8456f80d9ea16228e812ae4740b77d6ad4da77b1ac2a,03ff253978bba0ef6fbbd5243f141b089471d77c96501d2c33ea72bda70badc3,PASS
100,1000,7,1,1,1024,1,512,00,01,100,1,612,15f9af7ddfc43104092fd14cb085510b35615eafbe80a2fc92fa776c39db8469,16037c23707a58e8b36b2740f3e5170ff05b19bde83231f0c93789ca31ba2b13,03ff253978bba0ef6fbbd5243f141b089471d77c96501d2c33ea72bda70badc3,PASS
100,1000,8,1,1,1024,1,512,00,01,100,1,612,15f9af7ddfc43104092fd14cb085510b35615eafbe80a2fc92fa776c39db8469,16037c23707a58e8b36b2740f3e5170ff05b19bde83231f0c93789ca31ba2b13,03ff253978bba0ef6fbbd5243f141b089471d77c96501d2c33ea72bda70badc3,PASS
100,1000,9,1,1,1024,1,512,00,01,100,1,612,15f9af7ddfc43104092fd14cb085510b35615eafbe80a2fc92fa776c39db8469,af6a23bb68362fbb701a8456f80d9ea16228e812ae4740b77d6ad4da77b1ac2a,03ff253978bba0ef6fbbd5243f141b089471d77c96501d2c33ea72bda70badc3,PASS
100,1000,10,1,1,1024,1,512,00,01,100,1,612,15f9af7ddfc43104092fd14cb085510b35615eafbe80a2fc92fa776c39db8469,16037c23707a58e8b36b2740f3e5170ff05b19bde83231f0c93789ca31ba2b13,03ff253978bba0ef6fbbd5243f141b089471d77c96501d2c33ea72bda70badc3,PASS
1000,10000,1,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,0fdf3aa7e483c1970bf24c68f5bb1195a266325ca2f5ec4db651539d0f64de35,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
1000,10000,2,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,0fdf3aa7e483c1970bf24c68f5bb1195a266325ca2f5ec4db651539d0f64de35,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
1000,10000,3,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,0fdf3aa7e483c1970bf24c68f5bb1195a266325ca2f5ec4db651539d0f64de35,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
1000,10000,4,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,0fdf3aa7e483c1970bf24c68f5bb1195a266325ca2f5ec4db651539d0f64de35,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
1000,10000,5,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,35a6927855bd270ea2187b6b171e4db76542dcd2b86871ce09a039e4eefa782f,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
1000,10000,6,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,35a6927855bd270ea2187b6b171e4db76542dcd2b86871ce09a039e4eefa782f,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
1000,10000,7,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,35a6927855bd270ea2187b6b171e4db76542dcd2b86871ce09a039e4eefa782f,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
1000,10000,8,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,35a6927855bd270ea2187b6b171e4db76542dcd2b86871ce09a039e4eefa782f,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
1000,10000,9,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,35a6927855bd270ea2187b6b171e4db76542dcd2b86871ce09a039e4eefa782f,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
1000,10000,10,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,1e271cfab47af155e1c68608dfe2811a00de383052889e97e8a5eb872c2cc46b,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
10000,100000,1,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,1e271cfab47af155e1c68608dfe2811a00de383052889e97e8a5eb872c2cc46b,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
10000,100000,2,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,1e271cfab47af155e1c68608dfe2811a00de383052889e97e8a5eb872c2cc46b,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
10000,100000,3,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,1e271cfab47af155e1c68608dfe2811a00de383052889e97e8a5eb872c2cc46b,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
10000,100000,4,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,1e271cfab47af155e1c68608dfe2811a00de383052889e97e8a5eb872c2cc46b,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
10000,100000,5,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,035afe70a46e2e2570385e347a973407e8fedaf80d04d40d25f9b9ac87ced1f5,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
10000,100000,6,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,035afe70a46e2e2570385e347a973407e8fedaf80d04d40d25f9b9ac87ced1f5,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
10000,100000,7,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,035afe70a46e2e2570385e347a973407e8fedaf80d04d40d25f9b9ac87ced1f5,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
10000,100000,8,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,035afe70a46e2e2570385e347a973407e8fedaf80d04d40d25f9b9ac87ced1f5,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
10000,100000,9,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,e3bb06b3cd0e65df38e73e7cceccddfc7fb3eba5a93f31e9cc82ee2b645faa9b,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
10000,100000,10,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,e3bb06b3cd0e65df38e73e7cceccddfc7fb3eba5a93f31e9cc82ee2b645faa9b,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
100000,1000000,1,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,bc50e2e356e0b4e13e96b1ad14cbcb6dda7f4b8d1339ececcde6d5a3ee134fdd,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
100000,1000000,2,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,e3bb06b3cd0e65df38e73e7cceccddfc7fb3eba5a93f31e9cc82ee2b645faa9b,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
100000,1000000,3,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,f6df5458aad3ce10d78423476d76086ee55aecb8bd7483dd7ad5ee5a9cd917cf,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
100000,1000000,4,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,914b64685a933e64bb3fd4cc9e1a9cd84ffd1992b590ede834c5e8e19010612f,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
100000,1000000,5,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,914b64685a933e64bb3fd4cc9e1a9cd84ffd1992b590ede834c5e8e19010612f,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
100000,1000000,6,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,914b64685a933e64bb3fd4cc9e1a9cd84ffd1992b590ede834c5e8e19010612f,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
100000,1000000,7,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,914b64685a933e64bb3fd4cc9e1a9cd84ffd1992b590ede834c5e8e19010612f,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
100000,1000000,8,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,c8d6d3ccec9749602841548cd7bd495eb7954725857520458f656cc8bbdfa747,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
100000,1000000,9,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,c8d6d3ccec9749602841548cd7bd495eb7954725857520458f656cc8bbdfa747,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
100000,1000000,10,1,1,1024,1,512,00,01,512,0,OUTSIDE_WINDOW,40fb7888ef099938776460fc292fbb383164fd2bc276323da03be8a1011df49c,c8d6d3ccec9749602841548cd7bd495eb7954725857520458f656cc8bbdfa747,b14c91f9f9c580c1c05a97a9a4a35aabe74b107d4e9334023ee92f51e3851a71,PASS
